dateid,date,day,month,year,quarter
20050701,2005-07-01,01,7,2005,Q3
20190508,2019-05-08,08,5,2019,Q2
20041001,2004-10-01,01,10,2004,Q1
20040701,2004-07-01,01,7,2004,Q3
20190331,2019-03-31,31,3,2019,Q1
20040301,2004-03-01,01,3,2004,Q1
20190531,2019-05-31,31,5,2019,Q2
20031101,2003-11-01,01,11,2003,Q1
20191008,2019-10-08,08,10,2019,Q1
20031201,2003-12-01,01,12,2003,Q1
20190327,2019-03-27,27,3,2019,Q1
20040201,2004-02-01,01,2,2004,Q1
20200213,2020-02-13,13,2,2020,Q1
20190610,2019-06-10,10,6,2019,Q2
20050501,2005-05-01,01,5,2005,Q2
20190504,2019-05-04,04,5,2019,Q2
20040101,2004-01-01,01,1,2004,Q1
20190601,2019-06-01,01,6,2019,Q2
20030901,2003-09-01,01,9,2003,Q3
20191007,2019-10-07,07,10,2019,Q1
20040401,2004-04-01,01,4,2004,Q2
20200217,2020-02-17,17,2,2020,Q1
20021101,2002-11-01,01,11,2002,Q1
20190228,2019-02-28,28,2,2019,Q1
20040601,2004-06-01,01,6,2004,Q2
20200221,2020-02-21,21,2,2020,Q1
20040801,2004-08-01,01,8,2004,Q3
20190528,2019-05-28,28,5,2019,Q2
20191119,2019-11-19,19,11,2019,Q1
20191025,2019-10-25,25,10,2019,Q1
20050301,2005-03-01,01,3,2005,Q1
20190509,2019-05-09,09,5,2019,Q2
20191011,2019-10-11,11,10,2019,Q1
20190507,2019-05-07,07,5,2019,Q2
20040901,2004-09-01,01,9,2004,Q3
20190503,2019-05-03,03,5,2019,Q2
20041201,2004-12-01,01,12,2004,Q1
20190506,2019-05-06,06,5,2019,Q2
20030201,2003-02-01,01,2,2003,Q1
20190329,2019-03-29,29,3,2019,Q1
20050801,2005-08-01,01,8,2005,Q3
20190520,2019-05-20,20,5,2019,Q2
20050101,2005-01-01,01,1,2005,Q1
20020901,2002-09-01,01,9,2002,Q3
20190227,2019-02-27,27,2,2019,Q1
20200219,2020-02-19,19,2,2020,Q1
20191020,2019-10-20,20,10,2019,Q1
20040501,2004-05-01,01,5,2004,Q2
20190825,2019-08-25,25,8,2019,Q3
20050601,2005-06-01,01,6,2005,Q2
20190519,2019-05-19,19,5,2019,Q2
20050401,2005-04-01,01,4,2005,Q2
20030101,2003-01-01,01,1,2003,Q1
20190424,2019-04-24,24,4,2019,Q2
20190313,2019-03-13,13,3,2019,Q1
20191211,2019-12-11,11,12,2019,Q1
20190220,2019-02-20,20,2,2019,Q1
20200315,2020-03-15,15,3,2020,Q1
20190202,2019-02-02,02,2,2019,Q1
20190206,2019-02-06,06,2,2019,Q1
20031001,2003-10-01,01,10,2003,Q1
20191212,2019-12-12,12,12,2019,Q1
20200115,2020-01-15,15,1,2020,Q1
20200116,2020-01-16,16,1,2020,Q1
20200312,2020-03-12,12,3,2020,Q1
20191122,2019-11-22,22,11,2019,Q1
20190309,2019-03-09,09,3,2019,Q1
20191210,2019-12-10,10,12,2019,Q1
20190426,2019-04-26,26,4,2019,Q2
20190201,2019-02-01,01,2,2019,Q1
20200422,2020-04-22,22,4,2020,Q2
20200310,2020-03-10,10,3,2020,Q1
20190427,2019-04-27,27,4,2019,Q2
20190428,2019-04-28,28,4,2019,Q2
20191111,2019-11-11,11,11,2019,Q1
20200311,2020-03-11,11,3,2020,Q1
20190222,2019-02-22,22,2,2019,Q1
20190207,2019-02-07,07,2,2019,Q1
20200129,2020-01-29,29,1,2020,Q1
20191215,2019-12-15,15,12,2019,Q1
20191205,2019-12-05,05,12,2019,Q1
20041101,2004-11-01,01,11,2004,Q1
20190203,2019-02-03,03,2,2019,Q1
20190405,2019-04-05,05,4,2019,Q2
20190129,2019-01-29,29,1,2019,Q1
20190225,2019-02-25,25,2,2019,Q1
20200309,2020-03-09,09,3,2020,Q1
20190303,2019-03-03,03,3,2019,Q1
20200102,2020-01-02,02,1,2020,Q1
20200418,2020-04-18,18,4,2020,Q2
20190301,2019-03-01,01,3,2019,Q1
20190325,2019-03-25,25,3,2019,Q1
20191204,2019-12-04,04,12,2019,Q1
20190205,2019-02-05,05,2,2019,Q1
20191216,2019-12-16,16,12,2019,Q1
20190210,2019-02-10,10,2,2019,Q1
20191209,2019-12-09,09,12,2019,Q1
20200204,2020-02-04,04,2,2020,Q1
20190505,2019-05-05,05,5,2019,Q2
20050201,2005-02-01,01,2,2005,Q1
20190321,2019-03-21,21,3,2019,Q1
20190224,2019-02-24,24,2,2019,Q1
20200409,2020-04-09,09,4,2020,Q2
20191021,2019-10-21,21,10,2019,Q1
20191024,2019-10-24,24,10,2019,Q1
20191108,2019-11-08,08,11,2019,Q1
20191026,2019-10-26,26,10,2019,Q1
20191022,2019-10-22,22,10,2019,Q1
20190908,2019-09-08,08,9,2019,Q3
20191015,2019-10-15,15,10,2019,Q1
20190911,2019-09-11,11,9,2019,Q3
20191110,2019-11-10,10,11,2019,Q1
20191106,2019-11-06,06,11,2019,Q1
20060801,2006-08-01,01,8,2006,Q3
20191009,2019-10-09,09,10,2019,Q1
20050901,2005-09-01,01,9,2005,Q3
20191010,2019-10-10,10,10,2019,Q1
20060201,2006-02-01,01,2,2006,Q1
20191006,2019-10-06,06,10,2019,Q1
20200114,2020-01-14,14,1,2020,Q1
20060701,2006-07-01,01,7,2006,Q3
20191104,2019-11-04,04,11,2019,Q1
20191030,2019-10-30,30,10,2019,Q1
20200327,2020-03-27,27,3,2020,Q1
20060101,2006-01-01,01,1,2006,Q1
20191002,2019-10-02,02,10,2019,Q1
20060501,2006-05-01,01,5,2006,Q2
20200108,2020-01-08,08,1,2020,Q1
20060301,2006-03-01,01,3,2006,Q1
20191101,2019-11-01,01,11,2019,Q1
20190208,2019-02-08,08,2,2019,Q1
20191016,2019-10-16,16,10,2019,Q1
20190130,2019-01-30,30,1,2019,Q1
20200304,2020-03-04,04,3,2020,Q1
20190315,2019-03-15,15,3,2019,Q1
20200225,2020-02-25,25,2,2020,Q1
20060601,2006-06-01,01,6,2006,Q2
20191107,2019-11-07,07,11,2019,Q1
20190317,2019-03-17,17,3,2019,Q1
20190215,2019-02-15,15,2,2019,Q1
20200120,2020-01-20,20,1,2020,Q1
20060401,2006-04-01,01,4,2006,Q2
20191005,2019-10-05,05,10,2019,Q1
20190226,2019-02-26,26,2,2019,Q1
20200126,2020-01-26,26,1,2020,Q1
20191114,2019-11-14,14,11,2019,Q1
20051201,2005-12-01,01,12,2005,Q1
20051101,2005-11-01,01,11,2005,Q1
20200109,2020-01-09,09,1,2020,Q1
20190925,2019-09-25,25,9,2019,Q3
20190928,2019-09-28,28,9,2019,Q3
20191120,2019-11-20,20,11,2019,Q1
20200119,2020-01-19,19,1,2020,Q1
20051001,2005-10-01,01,10,2005,Q1
20200123,2020-01-23,23,1,2020,Q1
20191017,2019-10-17,17,10,2019,Q1
20190218,2019-02-18,18,2,2019,Q1
20191023,2019-10-23,23,10,2019,Q1
20190219,2019-02-19,19,2,2019,Q1
20190926,2019-09-26,26,9,2019,Q3
20190217,2019-02-17,17,2,2019,Q1
20200228,2020-02-28,28,2,2020,Q1
20030301,2003-03-01,01,3,2003,Q1
20190423,2019-04-23,23,4,2019,Q2
20191118,2019-11-18,18,11,2019,Q1
20200105,2020-01-05,05,1,2020,Q1
20191126,2019-11-26,26,11,2019,Q1
20190418,2019-04-18,18,4,2019,Q2
20191121,2019-11-21,21,11,2019,Q1
20191125,2019-11-25,25,11,2019,Q1
20200222,2020-02-22,22,2,2020,Q1
20191128,2019-11-28,28,11,2019,Q1
20191218,2019-12-18,18,12,2019,Q1
20191217,2019-12-17,17,12,2019,Q1
20191127,2019-11-27,27,11,2019,Q1
20190409,2019-04-09,09,4,2019,Q2
20190410,2019-04-10,10,4,2019,Q2
20190403,2019-04-03,03,4,2019,Q2
20190318,2019-03-18,18,3,2019,Q1
20200402,2020-04-02,02,4,2020,Q2
20190404,2019-04-04,04,4,2019,Q2
20190412,2019-04-12,12,4,2019,Q2
20191219,2019-12-19,19,12,2019,Q1
20190425,2019-04-25,25,4,2019,Q2
20190401,2019-04-01,01,4,2019,Q2
20190419,2019-04-19,19,4,2019,Q2
20190330,2019-03-30,30,3,2019,Q1
20200104,2020-01-04,04,1,2020,Q1
20200323,2020-03-23,23,3,2020,Q1
20200320,2020-03-20,20,3,2020,Q1
20200330,2020-03-30,30,3,2020,Q1
20021201,2002-12-01,01,12,2002,Q1
20190211,2019-02-11,11,2,2019,Q1
20190223,2019-02-23,23,2,2019,Q1
20190625,2019-06-25,25,6,2019,Q2
20190213,2019-02-13,13,2,2019,Q1
20190502,2019-05-02,02,5,2019,Q2
20021001,2002-10-01,01,10,2002,Q1
20030801,2003-08-01,01,8,2003,Q3
20190402,2019-04-02,02,4,2019,Q2
20200111,2020-01-11,11,1,2020,Q1
20190324,2019-03-24,24,3,2019,Q1
20190310,2019-03-10,10,3,2019,Q1
20190209,2019-02-09,09,2,2019,Q1
20190326,2019-03-26,26,3,2019,Q1
20190311,2019-03-11,11,3,2019,Q1
20190308,2019-03-08,08,3,2019,Q1
20200107,2020-01-07,07,1,2020,Q1
20190314,2019-03-14,14,3,2019,Q1
20200421,2020-04-21,21,4,2020,Q2
20190214,2019-02-14,14,2,2019,Q1
20200420,2020-04-20,20,4,2020,Q2
20190524,2019-05-24,24,5,2019,Q2
20190602,2019-06-02,02,6,2019,Q2
20200110,2020-01-10,10,1,2020,Q1
20190617,2019-06-17,17,6,2019,Q2
20200319,2020-03-19,19,3,2020,Q1
20190307,2019-03-07,07,3,2019,Q1
20190415,2019-04-15,15,4,2019,Q2
20190319,2019-03-19,19,3,2019,Q1
20190420,2019-04-20,20,4,2019,Q2
20200428,2020-04-28,28,4,2020,Q2
20190605,2019-06-05,05,6,2019,Q2
20190322,2019-03-22,22,3,2019,Q1
20190929,2019-09-29,29,9,2019,Q3
20190920,2019-09-20,20,9,2019,Q3
20190922,2019-09-22,22,9,2019,Q3
20190328,2019-03-28,28,3,2019,Q1
20200127,2020-01-27,27,1,2020,Q1
20191117,2019-11-17,17,11,2019,Q1
20200130,2020-01-30,30,1,2020,Q1
20190921,2019-09-21,21,9,2019,Q3
20191105,2019-11-05,05,11,2019,Q1
20190131,2019-01-31,31,1,2019,Q1
20200113,2020-01-13,13,1,2020,Q1
20191201,2019-12-01,01,12,2019,Q1
20190320,2019-03-20,20,3,2019,Q1
20200206,2020-02-06,06,2,2020,Q1
20200203,2020-02-03,03,2,2020,Q1
20190930,2019-09-30,30,9,2019,Q3
20190323,2019-03-23,23,3,2019,Q1
20191001,2019-10-01,01,10,2019,Q1
20191004,2019-10-04,04,10,2019,Q1
20200121,2020-01-21,21,1,2020,Q1
20190924,2019-09-24,24,9,2019,Q3
20191013,2019-10-13,13,10,2019,Q1
20200128,2020-01-28,28,1,2020,Q1
20190910,2019-09-10,10,9,2019,Q3
20030601,2003-06-01,01,6,2003,Q2
20200308,2020-03-08,08,3,2020,Q1
20190513,2019-05-13,13,5,2019,Q2
20200223,2020-02-23,23,2,2020,Q1
20190718,2019-07-18,18,7,2019,Q3
20200101,2020-01-01,01,1,2020,Q1
20191028,2019-10-28,28,10,2019,Q1
20190204,2019-02-04,04,2,2019,Q1
20191124,2019-11-24,24,11,2019,Q1
20190304,2019-03-04,04,3,2019,Q1
20191224,2019-12-24,24,12,2019,Q1
20191230,2019-12-30,30,12,2019,Q1
20191012,2019-10-12,12,10,2019,Q1
20191029,2019-10-29,29,10,2019,Q1
20200122,2020-01-22,22,1,2020,Q1
20190302,2019-03-02,02,3,2019,Q1
20190613,2019-06-13,13,6,2019,Q2
20190414,2019-04-14,14,4,2019,Q2
20191112,2019-11-12,12,11,2019,Q1
20191208,2019-12-08,08,12,2019,Q1
20190512,2019-05-12,12,5,2019,Q2
20190422,2019-04-22,22,4,2019,Q2
20190413,2019-04-13,13,4,2019,Q2
20190305,2019-03-05,05,3,2019,Q1
20200103,2020-01-03,03,1,2020,Q1
20191129,2019-11-29,29,11,2019,Q1
20191213,2019-12-13,13,12,2019,Q1
20200106,2020-01-06,06,1,2020,Q1
20190306,2019-03-06,06,3,2019,Q1
20190429,2019-04-29,29,4,2019,Q2
20200313,2020-03-13,13,3,2020,Q1
20190216,2019-02-16,16,2,2019,Q1
20200407,2020-04-07,07,4,2020,Q2
20190511,2019-05-11,11,5,2019,Q2
20191014,2019-10-14,14,10,2019,Q1
20191202,2019-12-02,02,12,2019,Q1
20200218,2020-02-18,18,2,2020,Q1
20190517,2019-05-17,17,5,2019,Q2
20191113,2019-11-13,13,11,2019,Q1
20191229,2019-12-29,29,12,2019,Q1
20200211,2020-02-11,11,2,2020,Q1
20200112,2020-01-12,12,1,2020,Q1
20191103,2019-11-03,03,11,2019,Q1
20200317,2020-03-17,17,3,2020,Q1
20191109,2019-11-09,09,11,2019,Q1
20200329,2020-03-29,29,3,2020,Q1
20191031,2019-10-31,31,10,2019,Q1
20190628,2019-06-28,28,6,2019,Q2
20030501,2003-05-01,01,5,2003,Q2
20191214,2019-12-14,14,12,2019,Q1
20190615,2019-06-15,15,6,2019,Q2
20200205,2020-02-05,05,2,2020,Q1
20200301,2020-03-01,01,3,2020,Q1
20190627,2019-06-27,27,6,2019,Q2
20200227,2020-02-27,27,2,2020,Q1
20191018,2019-10-18,18,10,2019,Q1
20190623,2019-06-23,23,6,2019,Q2
20190416,2019-04-16,16,4,2019,Q2
20190607,2019-06-07,07,6,2019,Q2
20190604,2019-06-04,04,6,2019,Q2
20191220,2019-12-20,20,12,2019,Q1
20200306,2020-03-06,06,3,2020,Q1
20190530,2019-05-30,30,5,2019,Q2
20190212,2019-02-12,12,2,2019,Q1
20190927,2019-09-27,27,9,2019,Q3
20191003,2019-10-03,03,10,2019,Q1
20190630,2019-06-30,30,6,2019,Q2
20190516,2019-05-16,16,5,2019,Q2
20200427,2020-04-27,27,4,2020,Q2
20200415,2020-04-15,15,4,2020,Q2
20190523,2019-05-23,23,5,2019,Q2
20190606,2019-06-06,06,6,2019,Q2
20200302,2020-03-02,02,3,2020,Q1
20200429,2020-04-29,29,4,2020,Q2
20190316,2019-03-16,16,3,2019,Q1
20190626,2019-06-26,26,6,2019,Q2
20190616,2019-06-16,16,6,2019,Q2
20200423,2020-04-23,23,4,2020,Q2
20190711,2019-07-11,11,7,2019,Q3
20190510,2019-05-10,10,5,2019,Q2
20200209,2020-02-09,09,2,2020,Q1
20191102,2019-11-02,02,11,2019,Q1
20080101,2008-01-01,01,1,2008,Q1
20200210,2020-02-10,10,2,2020,Q1
20200207,2020-02-07,07,2,2020,Q1
20190912,2019-09-12,12,9,2019,Q3
20200224,2020-02-24,24,2,2020,Q1
20190421,2019-04-21,21,4,2019,Q2
20190408,2019-04-08,08,4,2019,Q2
20190624,2019-06-24,24,6,2019,Q2
20190406,2019-04-06,06,4,2019,Q2
20191207,2019-12-07,07,12,2019,Q1
20191027,2019-10-27,27,10,2019,Q1
20030701,2003-07-01,01,7,2003,Q3
20200131,2020-01-31,31,1,2020,Q1
20190620,2019-06-20,20,6,2019,Q2
20190221,2019-02-21,21,2,2019,Q1
20190603,2019-06-03,03,6,2019,Q2
20190706,2019-07-06,06,7,2019,Q3
20191115,2019-11-15,15,11,2019,Q1
20190609,2019-06-09,09,6,2019,Q2
20190501,2019-05-01,01,5,2019,Q2
20070301,2007-03-01,01,3,2007,Q1
20060901,2006-09-01,01,9,2006,Q3
20070201,2007-02-01,01,2,2007,Q1
20070801,2007-08-01,01,8,2007,Q3
20061101,2006-11-01,01,11,2006,Q1
20070501,2007-05-01,01,5,2007,Q2
20190514,2019-05-14,14,5,2019,Q2
20070101,2007-01-01,01,1,2007,Q1
20081201,2008-12-01,01,12,2008,Q1
20090601,2009-06-01,01,6,2009,Q2
20081001,2008-10-01,01,10,2008,Q1
20061201,2006-12-01,01,12,2006,Q1
20070901,2007-09-01,01,9,2007,Q3
20071001,2007-10-01,01,10,2007,Q1
20061001,2006-10-01,01,10,2006,Q1
20080201,2008-02-01,01,2,2008,Q1
20080301,2008-03-01,01,3,2008,Q1
20090701,2009-07-01,01,7,2009,Q3
20200124,2020-01-24,24,1,2020,Q1
20070601,2007-06-01,01,6,2007,Q2
20070701,2007-07-01,01,7,2007,Q3
20090101,2009-01-01,01,1,2009,Q1
20080701,2008-07-01,01,7,2008,Q3
20090301,2009-03-01,01,3,2009,Q1
20071201,2007-12-01,01,12,2007,Q1
20070401,2007-04-01,01,4,2007,Q2
20200411,2020-04-11,11,4,2020,Q2
20191203,2019-12-03,03,12,2019,Q1
20191123,2019-11-23,23,11,2019,Q1
20030401,2003-04-01,01,4,2003,Q2
20190430,2019-04-30,30,4,2019,Q2
20200401,2020-04-01,01,4,2020,Q2
20200424,2020-04-24,24,4,2020,Q2
20190709,2019-07-09,09,7,2019,Q3
20080401,2008-04-01,01,4,2008,Q2
20080601,2008-06-01,01,6,2008,Q2
20200410,2020-04-10,10,4,2020,Q2
20071101,2007-11-01,01,11,2007,Q1
20190907,2019-09-07,07,9,2019,Q3
20191130,2019-11-30,30,11,2019,Q1
20191116,2019-11-16,16,11,2019,Q1
20190704,2019-07-04,04,7,2019,Q3
20081101,2008-11-01,01,11,2008,Q1
20080901,2008-09-01,01,9,2008,Q3
20200316,2020-03-16,16,3,2020,Q1
20200305,2020-03-05,05,3,2020,Q1
20080501,2008-05-01,01,5,2008,Q2
20190919,2019-09-19,19,9,2019,Q3
20190913,2019-09-13,13,9,2019,Q3
20190918,2019-09-18,18,9,2019,Q3
20190916,2019-09-16,16,9,2019,Q3
20190917,2019-09-17,17,9,2019,Q3
20200328,2020-03-28,28,3,2020,Q1
20190915,2019-09-15,15,9,2019,Q3
20190914,2019-09-14,14,9,2019,Q3
20090501,2009-05-01,01,5,2009,Q2
20090201,2009-02-01,01,2,2009,Q1
20080801,2008-08-01,01,8,2008,Q3
20090801,2009-08-01,01,8,2009,Q3
20200212,2020-02-12,12,2,2020,Q1
20200118,2020-01-18,18,1,2020,Q1
20190923,2019-09-23,23,9,2019,Q3
20200307,2020-03-07,07,3,2020,Q1
20190526,2019-05-26,26,5,2019,Q2
20200314,2020-03-14,14,3,2020,Q1
20200220,2020-02-20,20,2,2020,Q1
20190829,2019-08-29,29,8,2019,Q3
20200216,2020-02-16,16,2,2020,Q1
20190629,2019-06-29,29,6,2019,Q2
20190701,2019-07-01,01,7,2019,Q3
20200214,2020-02-14,14,2,2020,Q1
20200226,2020-02-26,26,2,2020,Q1
20200208,2020-02-08,08,2,2020,Q1
20200324,2020-03-24,24,3,2020,Q1
20200117,2020-01-17,17,1,2020,Q1
20200125,2020-01-25,25,1,2020,Q1
20200202,2020-02-02,02,2,2020,Q1
20200201,2020-02-01,01,2,2020,Q1
20200325,2020-03-25,25,3,2020,Q1
20190407,2019-04-07,07,4,2019,Q2
20190608,2019-06-08,08,6,2019,Q2
20200408,2020-04-08,08,4,2020,Q2
20190723,2019-07-23,23,7,2019,Q3
20190715,2019-07-15,15,7,2019,Q3
20190611,2019-06-11,11,6,2019,Q2
20190521,2019-05-21,21,5,2019,Q2
20190522,2019-05-22,22,5,2019,Q2
20190614,2019-06-14,14,6,2019,Q2
20200426,2020-04-26,26,4,2020,Q2
20190707,2019-07-07,07,7,2019,Q3
20190719,2019-07-19,19,7,2019,Q3
20200403,2020-04-03,03,4,2020,Q2
20190731,2019-07-31,31,7,2019,Q3
20200318,2020-03-18,18,3,2020,Q1
20200326,2020-03-26,26,3,2020,Q1
20200215,2020-02-15,15,2,2020,Q1
20190525,2019-05-25,25,5,2019,Q2
20190312,2019-03-12,12,3,2019,Q1
20190527,2019-05-27,27,5,2019,Q2
20190529,2019-05-29,29,5,2019,Q2
20190612,2019-06-12,12,6,2019,Q2
20190619,2019-06-19,19,6,2019,Q2
20190411,2019-04-11,11,4,2019,Q2
20200322,2020-03-22,22,3,2020,Q1
20190515,2019-05-15,15,5,2019,Q2
20190703,2019-07-03,03,7,2019,Q3
20190702,2019-07-02,02,7,2019,Q3
20200321,2020-03-21,21,3,2020,Q1
20200331,2020-03-31,31,3,2020,Q1
20200419,2020-04-19,19,4,2020,Q2
20200303,2020-03-03,03,3,2020,Q1
20191019,2019-10-19,19,10,2019,Q1
20191206,2019-12-06,06,12,2019,Q1
20200425,2020-04-25,25,4,2020,Q2
20190518,2019-05-18,18,5,2019,Q2
20200417,2020-04-17,17,4,2020,Q2
20190906,2019-09-06,06,9,2019,Q3
20200229,2020-02-29,29,2,2020,Q1
20190712,2019-07-12,12,7,2019,Q3
20191225,2019-12-25,25,12,2019,Q1
20200406,2020-04-06,06,4,2020,Q2
20191223,2019-12-23,23,12,2019,Q1
20191228,2019-12-28,28,12,2019,Q1
20191227,2019-12-27,27,12,2019,Q1
20190618,2019-06-18,18,6,2019,Q2
20190708,2019-07-08,08,7,2019,Q3
20190710,2019-07-10,10,7,2019,Q3
20190818,2019-08-18,18,8,2019,Q3
20020701,2002-07-01,01,7,2002,Q3
20190417,2019-04-17,17,4,2019,Q2
20191226,2019-12-26,26,12,2019,Q1
20191221,2019-12-21,21,12,2019,Q1
20191231,2019-12-31,31,12,2019,Q1
20190714,2019-07-14,14,7,2019,Q3
20200412,2020-04-12,12,4,2020,Q2
20190901,2019-09-01,01,9,2019,Q3
20190717,2019-07-17,17,7,2019,Q3
20190823,2019-08-23,23,8,2019,Q3
20200405,2020-04-05,05,4,2020,Q2
20190805,2019-08-05,05,8,2019,Q3
20190902,2019-09-02,02,9,2019,Q3
20190903,2019-09-03,03,9,2019,Q3
20190812,2019-08-12,12,8,2019,Q3
20190815,2019-08-15,15,8,2019,Q3
20190705,2019-07-05,05,7,2019,Q3
20200404,2020-04-04,04,4,2020,Q2
20190905,2019-09-05,05,9,2019,Q3
20190622,2019-06-22,22,6,2019,Q2
20190909,2019-09-09,09,9,2019,Q3
20190814,2019-08-14,14,8,2019,Q3
20011001,2001-10-01,01,10,2001,Q1
20200413,2020-04-13,13,4,2020,Q2
20190729,2019-07-29,29,7,2019,Q3
20200414,2020-04-14,14,4,2020,Q2
20190813,2019-08-13,13,8,2019,Q3
20190716,2019-07-16,16,7,2019,Q3
20010301,2001-03-01,01,3,2001,Q1
20090401,2009-04-01,01,4,2009,Q2
20091101,2009-11-01,01,11,2009,Q1
20100101,2010-01-01,01,1,2010,Q1
20091201,2009-12-01,01,12,2009,Q1
20091001,2009-10-01,01,10,2009,Q1
20190828,2019-08-28,28,8,2019,Q3
20100501,2010-05-01,01,5,2010,Q2
20200416,2020-04-16,16,4,2020,Q2
20100401,2010-04-01,01,4,2010,Q2
20090901,2009-09-01,01,9,2009,Q3
20100301,2010-03-01,01,3,2010,Q1
20120401,2012-04-01,01,4,2012,Q2
20120601,2012-06-01,01,6,2012,Q2
20110801,2011-08-01,01,8,2011,Q3
20110901,2011-09-01,01,9,2011,Q3
20120201,2012-02-01,01,2,2012,Q1
20120101,2012-01-01,01,1,2012,Q1
20111201,2011-12-01,01,12,2011,Q1
20120501,2012-05-01,01,5,2012,Q2
20120701,2012-07-01,01,7,2012,Q3
20120301,2012-03-01,01,3,2012,Q1
20120801,2012-08-01,01,8,2012,Q3
20101001,2010-10-01,01,10,2010,Q1
20110101,2011-01-01,01,1,2011,Q1
20100801,2010-08-01,01,8,2010,Q3
20100601,2010-06-01,01,6,2010,Q2
20111001,2011-10-01,01,10,2011,Q1
20110301,2011-03-01,01,3,2011,Q1
20110601,2011-06-01,01,6,2011,Q2
20111101,2011-11-01,01,11,2011,Q1
20100901,2010-09-01,01,9,2010,Q3
20110401,2011-04-01,01,4,2011,Q2
20110701,2011-07-01,01,7,2011,Q3
20100701,2010-07-01,01,7,2010,Q3
20191222,2019-12-22,22,12,2019,Q1
20100201,2010-02-01,01,2,2010,Q1
20101101,2010-11-01,01,11,2010,Q1
20110201,2011-02-01,01,2,2011,Q1
20110501,2011-05-01,01,5,2011,Q2
20190621,2019-06-21,21,6,2019,Q2
20190802,2019-08-02,02,8,2019,Q3
20190801,2019-08-01,01,8,2019,Q3
20190804,2019-08-04,04,8,2019,Q3
20190807,2019-08-07,07,8,2019,Q3
20020101,2002-01-01,01,1,2002,Q1
20101201,2010-12-01,01,12,2010,Q1
20190725,2019-07-25,25,7,2019,Q3
20190728,2019-07-28,28,7,2019,Q3
20190831,2019-08-31,31,8,2019,Q3
20190713,2019-07-13,13,7,2019,Q3
20190720,2019-07-20,20,7,2019,Q3
20190830,2019-08-30,30,8,2019,Q3
20190822,2019-08-22,22,8,2019,Q3
20190827,2019-08-27,27,8,2019,Q3
20190819,2019-08-19,19,8,2019,Q3
20190808,2019-08-08,08,8,2019,Q3
20190806,2019-08-06,06,8,2019,Q3
20190904,2019-09-04,04,9,2019,Q3
20190726,2019-07-26,26,7,2019,Q3
20190811,2019-08-11,11,8,2019,Q3
20190730,2019-07-30,30,7,2019,Q3
20190727,2019-07-27,27,7,2019,Q3
20190724,2019-07-24,24,7,2019,Q3
20190816,2019-08-16,16,8,2019,Q3
20190820,2019-08-20,20,8,2019,Q3
20190721,2019-07-21,21,7,2019,Q3
20190722,2019-07-22,22,7,2019,Q3
20190817,2019-08-17,17,8,2019,Q3
20190826,2019-08-26,26,8,2019,Q3
20010401,2001-04-01,01,4,2001,Q2
20190809,2019-08-09,09,8,2019,Q3
20011101,2001-11-01,01,11,2001,Q1
20190803,2019-08-03,03,8,2019,Q3
20121201,2012-12-01,01,12,2012,Q1
20190810,2019-08-10,10,8,2019,Q3
20190821,2019-08-21,21,8,2019,Q3
20001101,2000-11-01,01,11,2000,Q1
20130301,2013-03-01,01,3,2013,Q1
20130101,2013-01-01,01,1,2013,Q1
20121001,2012-10-01,01,10,2012,Q1
20121101,2012-11-01,01,11,2012,Q1
20130701,2013-07-01,01,7,2013,Q3
20020601,2002-06-01,01,6,2002,Q2
20020301,2002-03-01,01,3,2002,Q1
20190824,2019-08-24,24,8,2019,Q3
20130201,2013-02-01,01,2,2013,Q1
20130801,2013-08-01,01,8,2013,Q3
20130401,2013-04-01,01,4,2013,Q2
20130601,2013-06-01,01,6,2013,Q2
